time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
127600.0,1360.3250732421875,1.3371036052703857
127601.0,1360.7515869140625,1.325756311416626
127602.0,1361.2486572265625,1.2213804721832275
127603.0,1361.92041015625,1.1373929977416992
127604.0,1361.7960205078125,0.9561970829963684
127605.0,1362.2156982421875,0.9322729110717773
127606.0,1362.5330810546875,0.9363558888435364
127607.0,1362.6551513671875,0.8333550095558167
127608.0,1362.7327880859375,0.7395361065864563
127609.0,1362.01171875,0.7324562072753906
127610.0,1361.74609375,0.7687469720840454
127611.0,1362.05322265625,0.7932020425796509
127612.0,1361.507568359375,0.8485985994338989
127613.0,1361.3203125,0.9060878157615662
127614.0,1361.633056640625,0.876092255115509
127615.0,1360.905029296875,0.9260908961296082
127616.0,1361.81884765625,0.8900594711303711
127617.0,1362.28662109375,0.7955201268196106
127618.0,1362.327880859375,0.7016075849533081
127619.0,1362.0911865234375,0.6693142652511597
127620.0,1361.7374267578125,0.6707738041877747
127621.0,1361.393798828125,0.6791762709617615
127622.0,1361.4234619140625,0.7110010385513306
127623.0,1361.0169677734375,0.6250562071800232
127624.0,1361.56982421875,0.830935001373291
127625.0,1361.394287109375,0.8988922238349915
127626.0,1361.3280029296875,0.8605554699897766
127627.0,1361.5540771484375,0.956807553768158
127628.0,1361.7259521484375,0.9022278189659119
127629.0,1361.896728515625,0.9060513973236084
127630.0,1361.7503662109375,0.8404161334037781
127631.0,1361.752197265625,0.8343994617462158
127632.0,1361.5699462890625,0.854329526424408
127633.0,1361.5670166015625,0.8410050868988037
127634.0,1361.920166015625,0.8883265256881714
127635.0,1361.904296875,0.8951563835144043
127636.0,1361.8131103515625,0.9090865850448608
127637.0,1361.334716796875,0.9327269792556763
127638.0,1361.0133056640625,0.9860641956329346
127639.0,1361.761962890625,1.1131269931793213
127640.0,1361.689453125,1.0721862316131592
127641.0,1361.5972900390625,1.0545704364776611
127642.0,1361.315673828125,1.070740818977356
127643.0,1360.959716796875,1.0633894205093384
127644.0,1361.0994873046875,1.0200707912445068
127645.0,1361.4093017578125,0.9508479237556458
127646.0,1361.3587646484375,0.9517431855201721
127647.0,1362.009521484375,0.8980666995048523
127648.0,1362.50146484375,0.9138799905776978
127649.0,1362.562744140625,0.8370210528373718
127650.0,1362.627685546875,0.8069214820861816
127651.0,1362.8140869140625,0.757186770439148
127652.0,1362.455810546875,0.6408061385154724
127653.0,1361.8929443359375,0.6532506346702576
127654.0,1360.4761962890625,0.4855617582798004
127655.0,1361.6641845703125,0.761206865310669
127656.0,1361.984619140625,0.8184568881988525
127657.0,1361.8922119140625,0.7166153788566589
127658.0,1362.17138671875,0.7037914991378784
127659.0,1362.1031494140625,0.6329150199890137
127660.0,1361.9993896484375,0.67806077003479
127661.0,1361.1837158203125,0.8239109516143799
127662.0,1360.96923828125,0.9405776262283325
127663.0,1361.2481689453125,1.0084302425384521
127664.0,1361.3211669921875,1.1287484169006348
127665.0,1360.8905029296875,1.1707407236099243
127666.0,1361.1805419921875,1.1461715698242188
127667.0,1361.9783935546875,1.064285397529602
127668.0,1362.320556640625,0.9429404735565186
127669.0,1362.4940185546875,0.8688452243804932
127670.0,1362.51953125,0.7832910418510437
127671.0,1362.4754638671875,0.6711603403091431
127672.0,1362.5953369140625,0.679754912853241
127673.0,1362.460205078125,0.626585066318512
127674.0,1362.256103515625,0.6142603754997253
127675.0,1361.932373046875,0.6918761730194092
127676.0,1361.115966796875,0.7620956301689148
127677.0,1361.0560302734375,0.8743948936462402
127678.0,1361.263427734375,0.9456010460853577
127679.0,1361.1392822265625,0.9921109080314636
127680.0,1361.5582275390625,1.11683988571167
127681.0,1361.24462890625,1.1170682907104492
127682.0,1361.0396728515625,1.1189574003219604
127683.0,1361.4453125,0.9787634015083313
127684.0,1361.7109375,0.9163641929626465
127685.0,1361.9169921875,0.8476555347442627
127686.0,1361.71142578125,0.8989334106445312
127687.0,1361.7186279296875,0.8770118355751038
127688.0,1361.880126953125,0.8841601610183716
127689.0,1361.6085205078125,0.8419813513755798
127690.0,1361.74169921875,0.7881828546524048
127691.0,1361.6502685546875,0.7344298958778381
127692.0,1361.646728515625,0.6508687734603882
127693.0,1362.0521240234375,0.6590656638145447
127694.0,1362.005615234375,0.6964297294616699
127695.0,1361.82470703125,0.7466341257095337
127696.0,1361.3485107421875,0.7510899305343628
127697.0,1360.814453125,0.8116018176078796
127698.0,1361.0391845703125,0.7680063247680664
127699.0,1361.0789794921875,0.8027070760726929
127700.0,1361.34228515625,0.8934219479560852
127701.0,1360.9854736328125,0.9017821550369263
127702.0,1361.04541015625,0.9445867538452148
127703.0,1360.4501953125,0.9029614925384521
127704.0,1360.8321533203125,0.9144676923751831
127705.0,1361.4609375,0.9871575236320496
127706.0,1361.47314453125,1.0631455183029175
127707.0,1361.3084716796875,1.129327654838562
127708.0,1360.1922607421875,1.3480901718139648
127709.0,1359.534912109375,1.543360948562622
127710.0,1359.270263671875,1.5069243907928467
127711.0,1359.657470703125,1.461622714996338
127712.0,1359.8426513671875,1.3352086544036865
127713.0,1360.886474609375,1.3181535005569458
127714.0,1360.86669921875,1.0715510845184326
127715.0,1361.47412109375,0.973659336566925
127716.0,1361.8760986328125,0.8312817215919495
127717.0,1361.906494140625,0.7616220116615295
127718.0,1361.9930419921875,0.7105767130851746
127719.0,1361.59033203125,0.7584508061408997
127720.0,1361.3128662109375,0.7746708989143372
127721.0,1360.8013916015625,0.8502920269966125
127722.0,1360.6466064453125,0.899655818939209
127723.0,1360.4638671875,0.8803413510322571
